week_ending_date,economic_indicator,inflation_rate_pct,consumer_confidence_index,unemployment_rate_pct,retail_sales_growth_pct,category_interest_trend,eco_concern_trend,gender_focus_trend,format_preference_trend,seasonal_indicator,regulatory_flag,regulatory_detail,market_consolidation_flag,consolidation_detail,price_elasticity_trend,volume_elasticity_trend,consumer_value_seeking,disposable_income_index,credit_card_spending_index
2026-09-07,Baseline,3.8,102.5,4.2,-1.2,Stable,Increasing,Female focused,Aerosol growing,Back to School,1,Eco-propellant regulations proposed EU,0,None,Price sensitive,-0.8,2.3,98.4,102.1
2026-09-07,Post-inflation,3.8,102.5,4.2,-1.2,Flat,Accelerating,Gender neutral,Format shifting,End of summer,1,Propellant phase-out timeline 2027,0,None,-5.2,-3.1,1.8,98.4,102.1
2026-09-07,Economic concern,3.8,102.5,4.2,-1.2,Declining,Sustainability focus,Women buying more,Gel emerging,Labor Day sales,0,Natural ingredient standards evolving,1,Regional consolidation ongoing,Trading down,Volume pressure,1.2,98.4,102.1
2026-09-07,Competitive pressure,3.8,102.5,4.2,-1.2,Category stable,Eco-concerns rising,Female segment growth,Aerosol vs Stick shift,Seasonal swing,1,Plastic packaging rules in CA,1,Retail consolidation in Drug,Price war possible,-8.5,0.9,98.4,102.1
2026-09-07,Social trends,3.8,102.5,4.2,-1.2,Influencer driven,Gen Z eco-activism,Young female focus,Gel and natural formats,Back to school push,0,None,0,None,Premium segment stable,-1.2,2.1,98.4,102.1
2026-09-14,Baseline,3.9,101.8,4.3,-1.5,Slight decline,Increasing concern,Female growing,Aerosol +3% vs baseline,Post-summer,1,Eco propellant ban discussions,0,None,Price sensitivity up,-1.2,2.8,97.9,101.6
2026-09-14,Post-inflation,3.9,101.8,4.3,-1.5,Flat,Strong eco-focus,Gender neutral,Stick -2% vs baseline,Labor Day impact fading,1,Regulatory guidance expected Q4,0,None,-6.1,-3.8,2.1,97.9,101.6
2026-09-14,Economic concern,3.9,101.8,4.3,-1.5,Down 1.2%,Sustainability priority,Women segment +1.5pp,Gel +2% weekly,Economic uncertainty,0,Standards clarification pending,1,Further consolidation expected,Trading down,-9.2,1.1,97.9,101.6
2026-09-14,Competitive pressure,3.9,101.8,4.3,-1.5,Category down,Eco-claims scrutinized,Female acquisition focus,Aerosol market share shift,Promotional intensity up,1,CA packaging rules effective Q1,1,Drug store closures announced,Price pressure,-8.8,0.8,97.9,101.6
2026-09-14,Social trends,3.9,101.8,4.3,-1.5,TikTok driven,Refillable trending,Young female dominant,Gel format viral growth,Back to school continuation,0,None,0,None,Premium holding,-1.5,2.3,97.9,101.6
2026-09-21,Baseline,4.0,100.9,4.4,-1.8,Down 2.1%,Major concern,Female +2pp,Aerosol +5% cumulative,Seasonal demand down,1,Propellant phase-out 2027 EU,0,None,Elastic,-1.5,3.2,97.2,100.8
2026-09-21,Post-inflation,4.0,100.9,4.4,-1.8,Category flat,Eco-activism rising,Gender neutral focus,Stick -4% cumulative,Uncertainty growing,1,Natural ingredient push,0,None,-6.9,-4.5,2.4,97.2,100.8
2026-09-21,Economic concern,4.0,100.9,4.4,-1.8,Down 2.8%,Sustainability mandatory,Women category growth,Gel +3% weekly,Economic slowdown signals,0,Standards in flux,1,Retail consolidation accelerating,Trading down,-9.8,1.3,97.2,100.8
2026-09-21,Competitive pressure,4.0,100.9,4.4,-1.8,Category declining,Eco-demands rising,Female consumer focus,Aerosol trend accelerating,Promo intensity peak,1,Packaging debate heating,1,Convenience store consolidation,Price wars,-9.5,0.9,97.2,100.8
2026-09-21,Social trends,4.0,100.9,4.4,-1.8,Influencer decline,Refillable + eco,Young female dominant,Gel viral momentum,Seasonal decline,0,None,0,None,Premium segment pressure,-1.8,2.5,97.2,100.8
2026-09-28,Baseline,4.1,100.0,4.5,-2.1,Down 3.2%,Critical priority,Female +3pp,Aerosol +6% trend,Seasonal low,1,EU propellant ban finalized,0,None,Highly elastic,-1.8,3.5,96.5,100.1
2026-09-28,Post-inflation,4.1,100.0,4.5,-2.1,Category softening,Eco-demands critical,Gender neutral market,Stick -5% trend,Slowdown confirmed,1,Natural ingredient standards tightening,0,None,-7.6,-5.2,2.7,96.5,100.1
2026-09-28,Economic concern,4.1,100.0,4.5,-2.1,Down 3.8%,Sustainability crisis,Women +4pp consumption,Gel +4% weekly,Economic weakness,0,Regulatory roadmap unclear,1,Drug consolidation peak,Trading down severe,-10.5,1.5,96.5,100.1
2026-09-28,Competitive pressure,4.1,100.0,4.5,-2.1,Category challenged,Eco-compliance costs,Female premium segment,Aerosol dominance growing,Promo intensity maximum,1,Packaging mandates coming,1,Retail structure shifting,Price wars intense,-9.8,1.0,96.5,100.1
2026-09-28,Social trends,4.1,100.0,4.5,-2.1,Weak demand,Refillable essential,Young female loyalty,Gel consumer expansion,Seasonal trough,0,None,0,None,Premium vulnerability,-2.1,2.7,96.5,100.1
